,player,nation_x,pos_x,squad_x,comp_x,age_x,mp_x,starts_x,min_x,90s_x,gls_x,ast_x,g&a_x,g_pk_x,pk_x,pkatt_x,crdy_x,crdr_x,xg_x,npxg_x,xag_x,npxg&xag_x,prgc_x,prgp_x,prgr_x,gls_x,ast_x,g&a_x,g_pk_x,g&a_pk_x,xg_x,xag_x,xg&xag_x,npxg_x,npxg&xag_x,agg_pos_x,nation_y,pos_y,squad_y,comp_y,age_y,mp_y,starts_y,min_y,90s_y,gls_y,ast_y,g&a_y,g_pk_y,pk_y,pkatt_y,crdy_y,crdr_y,xg_y,npxg_y,xag_y,npxg&xag_y,prgc_y,prgp_y,prgr_y,gls_y,ast_y,g&a_y,g_pk_y,g&a_pk_y,xg_y,xag_y,xg&xag_y,npxg_y,npxg&xag_y,agg_pos_y,mp_diff,starts_diff,min_diff
22,Jose Carlos Lazo,ESP,"MF,FW",Espanyol, La Liga,26,10.0,0.0,159.0,1.8,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.5,2.0,4.0,10.0,0.57,0.57,1.13,0.57,1.13,0.13,0.13,0.26,0.13,0.26,MF,ESP,"MF,FW",Almería, La Liga,26,1.0,0.0,20.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.27,0.27,0.27,MF,9.0,0.0,139.0
23,Carmona,ESP,DF,Sevilla, La Liga,20,10.0,5.0,527.0,5.9,2.0,1.0,3.0,2.0,0.0,0.0,6.0,1.0,0.8,0.8,0.4,1.2,9.0,11.0,8.0,0.34,0.17,0.51,0.34,0.51,0.14,0.06,0.2,0.14,0.2,DF,ESP,"MF,DF",Elche, La Liga,20,9.0,8.0,589.0,6.5,1.0,0.0,1.0,1.0,0.0,0.0,5.0,1.0,0.4,0.4,0.1,0.5,8.0,10.0,27.0,0.15,0.0,0.15,0.15,0.15,0.06,0.02,0.08,0.06,0.08,MF,1.0,-3.0,-62.0
24,Casemiro,BRA,MF,Real Madrid, La Liga,30,1.0,0.0,8.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MF,BRA,MF,Manchester Utd, Premier League,30,28.0,24.0,2124.0,23.6,4.0,3.0,7.0,4.0,0.0,0.0,7.0,2.0,3.4,3.4,3.1,6.5,14.0,152.0,34.0,0.17,0.13,0.3,0.17,0.3,0.14,0.13,0.28,0.14,0.28,MF,-27.0,-24.0,-2116.0
25,Alexis Claude-Maurice,FRA,"MF,FW",Lens, Ligue 1,24,20.0,5.0,604.0,6.7,5.0,3.0,8.0,5.0,0.0,0.0,0.0,0.0,2.6,2.6,1.3,3.9,11.0,25.0,43.0,0.75,0.45,1.19,0.75,1.19,0.39,0.19,0.58,0.39,0.58,MF,FRA,FW,Nice, Ligue 1,24,2.0,1.0,64.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.12,0.07,0.18,0.12,0.18,FW,18.0,4.0,540.0
26,Nicolas Cozza,FRA,DF,Wolfsburg, Bundesliga,23,5.0,0.0,100.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DF,FRA,DF,Montpellier, Ligue 1,23,17.0,14.0,1277.0,14.2,2.0,1.0,3.0,2.0,0.0,0.0,3.0,0.0,1.4,1.4,0.8,2.1,20.0,48.0,34.0,0.14,0.07,0.21,0.14,0.21,0.1,0.05,0.15,0.1,0.15,DF,-12.0,-14.0,-1177.0
27,Matheus Cunha,BRA,"FW,MF",Atlético Madrid, La Liga,23,11.0,2.0,377.0,4.2,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,1.4,1.4,0.8,2.2,6.0,7.0,19.0,0.0,0.48,0.48,0.0,0.48,0.34,0.2,0.53,0.34,0.53,FW,BRA,FW,Wolves, Premier League,23,17.0,12.0,965.0,10.7,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,2.0,2.0,0.6,2.6,16.0,14.0,43.0,0.19,0.0,0.19,0.19,0.19,0.19,0.05,0.24,0.19,0.24,FW,-6.0,-10.0,-588.0
28,Flavius Daniliuc,AUT,DF,Nice, Ligue 1,21,2.0,1.0,91.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,2.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.0,0.05,DF,AUT,DF,Salernitana, Serie A,21,27.0,23.0,2195.0,24.4,0.0,2.0,2.0,0.0,0.0,0.0,9.0,0.0,0.6,0.6,0.5,1.2,14.0,70.0,5.0,0.0,0.08,0.08,0.0,0.08,0.03,0.02,0.05,0.03,0.05,DF,-25.0,-22.0,-2104.0
29,Danilo,BRA,DF,Juventus, Serie A,31,37.0,35.0,3184.0,35.4,3.0,3.0,6.0,3.0,0.0,0.0,5.0,0.0,2.8,2.8,2.4,5.2,39.0,176.0,43.0,0.08,0.08,0.17,0.08,0.17,0.08,0.07,0.15,0.08,0.15,DF,BRA,MF,Nott'ham Forest, Premier League,21,13.0,12.0,976.0,10.8,3.0,2.0,5.0,3.0,0.0,0.0,1.0,0.0,1.5,1.5,0.7,2.3,13.0,34.0,22.0,0.28,0.18,0.46,0.28,0.46,0.14,0.07,0.21,0.14,0.21,MF,24.0,23.0,2208.0
30,Arnaut Danjuma,NED,FW,Villarreal, La Liga,25,10.0,6.0,479.0,5.3,2.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,2.7,1.9,0.4,2.3,12.0,2.0,35.0,0.38,0.0,0.38,0.19,0.19,0.5,0.07,0.58,0.36,0.43,FW,NED,"FW,MF",Tottenham, Premier League,25,9.0,1.0,169.0,1.9,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.8,0.8,0.0,0.9,5.0,2.0,19.0,0.53,0.0,0.53,0.53,0.53,0.43,0.02,0.45,0.43,0.45,FW,1.0,5.0,310.0
31,Craig Dawson,ENG,DF,Wolves, Premier League,32,17.0,17.0,1414.0,15.7,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,1.0,1.0,0.0,1.0,5.0,44.0,1.0,0.06,0.0,0.06,0.06,0.06,0.06,0.0,0.06,0.06,0.06,DF,ENG,DF,West Ham, Premier League,32,8.0,8.0,720.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.5,0.5,0.1,0.6,0.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.06,0.01,0.07,0.06,0.07,DF,9.0,9.0,694.0
32,Thomas Delaney,DEN,MF,Hoffenheim, Bundesliga,30,6.0,4.0,298.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.0,14.0,3.0,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.04,0.03,0.04,MF,DEN,MF,Sevilla, La Liga,30,8.0,2.0,309.0,3.4,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.2,0.2,0.1,0.2,1.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.04,0.02,0.06,0.04,0.06,MF,-2.0,2.0,-11.0
33,Andy Delort,ALG,FW,Nantes, Ligue 1,30,12.0,6.0,469.0,5.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,2.5,0.7,3.3,2.0,9.0,44.0,0.0,0.0,0.0,0.0,0.0,0.49,0.14,0.63,0.49,0.63,FW,ALG,FW,Nice, Ligue 1,30,14.0,9.0,781.0,8.7,6.0,1.0,7.0,3.0,3.0,3.0,0.0,0.0,5.4,3.0,1.4,4.4,7.0,19.0,48.0,0.69,0.12,0.81,0.35,0.46,0.62,0.16,0.78,0.35,0.51,FW,-2.0,-3.0,-312.0
34,Siriki Dembele,CIV,"MF,FW",Auxerre, Ligue 1,25,12.0,4.0,372.0,4.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3,0.3,1.0,1.3,14.0,9.0,29.0,0.0,0.0,0.0,0.0,0.0,0.07,0.23,0.3,0.07,0.3,MF,CIV,"FW,MF",Bournemouth, Premier League,25,6.0,0.0,110.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.3,0.5,5.0,4.0,11.0,0.0,0.0,0.0,0.0,0.0,0.15,0.25,0.41,0.15,0.41,FW,6.0,4.0,262.0
35,Leander Dendoncker,BEL,MF,Wolves, Premier League,27,4.0,2.0,214.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.0,0.7,1.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.27,0.02,0.29,0.27,0.29,MF,BEL,MF,Aston Villa, Premier League,27,20.0,7.0,697.0,7.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.5,0.5,1.0,18.0,2.0,0.0,0.0,0.0,0.0,0.0,0.01,0.06,0.07,0.01,0.07,MF,-16.0,-5.0,-483.0
36,Fabio Depaoli,ITA,"DF,MF",Sampdoria, Serie A,25,3.0,1.0,136.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.4,0.6,2.0,10.0,6.0,0.0,0.0,0.0,0.0,0.0,0.12,0.26,0.38,0.12,0.38,DF,ITA,DF,Hellas Verona, Serie A,25,31.0,24.0,2173.0,24.1,2.0,2.0,4.0,2.0,0.0,0.0,7.0,0.0,1.7,1.7,1.2,2.9,28.0,66.0,76.0,0.08,0.08,0.17,0.08,0.17,0.07,0.05,0.12,0.07,0.12,DF,-28.0,-23.0,-2037.0
37,Bamba Dieng,SEN,FW,Lorient, Ligue 1,22,15.0,9.0,747.0,8.3,3.0,0.0,3.0,2.0,1.0,1.0,1.0,0.0,4.9,4.1,0.6,4.7,4.0,7.0,48.0,0.36,0.0,0.36,0.24,0.24,0.59,0.08,0.67,0.5,0.57,FW,SEN,"FW,MF",Marseille, Ligue 1,22,10.0,1.0,194.0,2.2,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.5,1.5,0.1,1.6,5.0,1.0,23.0,0.46,0.0,0.46,0.46,0.46,0.71,0.04,0.76,0.71,0.76,FW,5.0,8.0,553.0
38,Sofiane Diop,FRA,MF,Monaco, Ligue 1,22,1.0,1.0,65.0,0.7,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.1,1.1,5.0,2.0,10.0,1.38,0.0,1.38,1.38,1.38,1.4,0.11,1.51,1.4,1.51,MF,FRA,"MF,FW",Nice, Ligue 1,22,22.0,14.0,1228.0,13.6,1.0,4.0,5.0,1.0,0.0,0.0,1.0,0.0,2.6,2.6,1.9,4.4,55.0,72.0,91.0,0.07,0.29,0.37,0.07,0.37,0.19,0.14,0.33,0.19,0.33,MF,-21.0,-13.0,-1163.0
