,player,nation,pos,squad,comp,age,mp,starts,min,90s,gls,ast,g&a,g_pk,pk,pkatt,crdy,crdr,xg,npxg,xag,npxg&xag,prgc,prgp,prgr,gls,ast,g&a,g_pk,g&a_pk,xg,xag,xg&xag,npxg,npxg&xag,agg_pos
12,Zakaria Aboukhlal,MAR,"FW,MF",Toulouse, Ligue 1,22,37.0,28.0,2473.0,27.5,10.0,5.0,15.0,10.0,0.0,0.0,4.0,0.0,11.5,11.5,3.3,14.7,100.0,72.0,276.0,0.36,0.18,0.55,0.36,0.55,0.42,0.12,0.54,0.42,0.54,FW
13,Tammy Abraham,ENG,FW,Roma, Serie A,24,38.0,24.0,2189.0,24.3,8.0,3.0,11.0,8.0,0.0,0.0,2.0,0.0,10.8,10.8,3.6,14.5,35.0,54.0,141.0,0.33,0.12,0.45,0.33,0.45,0.45,0.15,0.6,0.45,0.6,FW
14,Christian Acella,ITA,MF,Cremonese, Serie A,20,1.0,0.0,15.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MF
15,Francesco Acerbi,ITA,DF,Inter, Serie A,34,31.0,25.0,2425.0,26.9,0.0,2.0,2.0,0.0,0.0,0.0,4.0,0.0,1.0,1.0,1.1,2.1,39.0,100.0,32.0,0.0,0.07,0.07,0.0,0.07,0.04,0.04,0.08,0.04,0.08,DF
16,Alvaro Aceves,ESP,GK,Valladolid, La Liga,19,1.0,0.0,13.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GK
17,Mohamed Achi,FRA,FW,Nantes, Ligue 1,20,2.0,0.0,36.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.2,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3,0.08,0.39,0.3,0.39,FW
18,Marcos Acuna,ARG,DF,Sevilla, La Liga,30,30.0,21.0,1912.0,21.2,3.0,2.0,5.0,3.0,0.0,0.0,10.0,3.0,1.2,1.2,4.3,5.5,49.0,102.0,94.0,0.14,0.09,0.24,0.14,0.24,0.05,0.2,0.26,0.05,0.26,DF
19,Che Adams,SCO,FW,Southampton, Premier League,26,28.0,23.0,1992.0,22.1,5.0,3.0,8.0,5.0,0.0,0.0,1.0,0.0,6.6,6.6,2.8,9.4,17.0,34.0,115.0,0.23,0.14,0.36,0.23,0.36,0.3,0.13,0.42,0.3,0.42,FW
20,Tyler Adams,USA,MF,Leeds United, Premier League,23,24.0,24.0,2156.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.1,0.1,1.4,1.5,19.0,136.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.06,0.0,0.06,MF
21,Sargis Adamyan,ARM,"FW,MF",Köln, Bundesliga,29,24.0,4.0,644.0,7.2,1.0,2.0,3.0,1.0,0.0,0.0,3.0,0.0,3.4,3.4,0.8,4.1,12.0,24.0,58.0,0.14,0.28,0.42,0.14,0.42,0.47,0.11,0.58,0.47,0.58,FW
